Density Total;Richness Total;Density;Richness;X;Y;Proportion;;Density CE Ori;Richness CE Ori;Density CE;Richness CE
1;1;0;0;1,792,391,689;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;1,792,391,689;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;1,792,391,689;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;1,792,391,689;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;1,792,391,689;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;1,792,391,689;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;0,301029996;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;0,301029996;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;0,602059991;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;0,602059991;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;1,792,391,689;0,301029996;1;;1;1;0;0
1;1;0;0;1,792,391,689;0,301029996;1;;1;1;0;0
1;1;0;0;1,792,391,689;0,301029996;1;;1;1;0;0
1;1;0;0;1,792,391,689;0,301029996;1;;2;1;0,301029996;0
1;1;0;0;0,77815125;0,477121255;1;;2;1;0,301029996;0
2;1;0,301029996;0;0,903089987;0,477121255;2;;2;1;0,301029996;0
2;1;0,301029996;0;0,84509804;0,477121255;2;;3;2;0,477121255;0,301029996
2;1;0,301029996;0;0,602059991;0,301029996;2;;3;2;0,477121255;0,301029996
1;1;0;0;0,477121255;0,301029996;1;;2;1;0,301029996;0
62;2;1,792,391,689;0,301029996;1,792,391,689;0,301029996;31;;2;1;0,301029996;0
62;2;1,792,391,689;0,301029996;1,792,391,689;0,301029996;31;;1;1;0;0
1;1;0;0;1,792,391,689;0,301029996;1;;1;1;0;0
1;1;0;0;1,462,397,998;0,301029996;1;;1;1;0;0
1;1;0;0;1,579,783,597;0,301029996;1;;1;1;0;0
1;1;0;0;1,591,064,607;0,477121255;1;;3;2;0,477121255;0,301029996
1;1;0;0;1;0,602059991;1;;2;1;0,301029996;0
1;1;0;0;0,954242509;0,477121255;1;;3;2;0,477121255;0,301029996
2;1;0,301029996;0;0,77815125;0,301029996;2;;3;2;0,477121255;0,301029996
2;1;0,301029996;0;0,477121255;0,301029996;2;;7;4;0,84509804;0,602059991
2;1;0,301029996;0;151,851,394;0,301029996;2;;8;4;0,903089987;0,602059991
1;1;0;0;1,653,212,514;0,477121255;1;;8;4;0,903089987;0,602059991
62;2;1,792,391,689;0,301029996;1,662,757,832;0,477121255;31;;5;3;0,698970004;0,477121255
62;2;1,792,391,689;0,301029996;1,602,059,991;0,477121255;31;;4;3;0,602059991;0,477121255
62;2;1,792,391,689;0,301029996;1;0,602059991;31;;1;1;0;0
62;2;1,792,391,689;0,301029996;0,698970004;0,301029996;31;;1;1;0;0
1;1;0;0;0,301029996;0,301029996;1;;1;1;0;0
1;1;0;0;0,301029996;0,301029996;1;;1;1;0;0
2;2;0,301029996;0,301029996;0,301029996;0,301029996;1;;1;1;0;0
2;2;0,301029996;0,301029996;1,556,302,501;0,477121255;1;;3;2;0,477121255;0,301029996
4;2;0,602059991;0,301029996;1,633,468,456;0,602059991;2;;6;3;0,77815125;0,477121255
4;2;0,602059991;0,301029996;1,653,212,514;0,477121255;2;;10;3;1;0,477121255
1;1;0;0;1,591,064,607;0,477121255;1;;18;8;1,255,272,505;0,903089987
1;1;0;0;1;0,477121255;1;;17;7;1,230,448,921;0,84509804
1;1;0;0;0,602059991;0,477121255;1;;17;7;1,230,448,921;0,84509804
2;1;0,301029996;0;0,301029996;0,301029996;2;;8;4;0,903089987;0,602059991
2;1;0,301029996;0;0,698970004;0,477121255;2;;5;3;0,698970004;0,477121255
62;2;1,792,391,689;0,301029996;0,301029996;0,301029996;31;;5;3;0,698970004;0,477121255
62;2;1,792,391,689;0,301029996;1,491,361,694;0,477121255;31;;1;1;0;0
62;2;1,792,391,689;0,301029996;162,324,929;0,602059991;31;;1;1;0;0
62;2;1,792,391,689;0,301029996;1,612,783,857;0,477121255;31;;1;1;0;0
1;1;0;0;0,954242509;0,477121255;1;;1;1;0;0
1;1;0;0;0,698970004;0,301029996;1;;1;1;0;0
6;3;0,77815125;0,477121255;0,602059991;0,477121255;2;;4;3;0,602059991;0,477121255
8;3;0,903089987;0,477121255;0,77815125;0,602059991;2,666,666,667;;3;2;0,477121255;0,301029996
7;3;0,84509804;0,477121255;1,462,397,998;0,698970004;2,333,333,333;;11;3;1,041,392,685;0,477121255
4;2;0,602059991;0,301029996;1,414,973,348;0,602059991;2;;14;6;1,146,128,036;0,77815125
3;2;0,477121255;0,301029996;1,322,219,295;0,698970004;1,5;;19;8;1,278,753,601;0,903089987
1;1;0;0;0,301029996;0,301029996;1;;19;8;1,278,753,601;0,903089987
1;1;0;0;0,301029996;0,301029996;1;;17;7;1,230,448,921;0,84509804
2;1;0,301029996;0;0,77815125;0,602059991;2;;15;6;1,176,091,259;0,77815125
62;2;1,792,391,689;0,301029996;0,954242509;0,602059991;31;;6;3;0,77815125;0,477121255
62;2;1,792,391,689;0,301029996;0,954242509;0,301029996;31;;5;3;0,698970004;0,477121255
62;2;1,792,391,689;0,301029996;0,77815125;0,477121255;31;;5;3;0,698970004;0,477121255
29;2;1,462,397,998;0,301029996;0,698970004;0,602059991;14,5;;1;1;0;0
38;2;1,579,783,597;0,301029996;0,903089987;0,602059991;19;;1;1;0;0
39;3;1,591,064,607;0,477121255;1,505,149,978;0,77815125;13;;2;2;0,301029996;0,301029996
10;4;1;0,602059991;1,995,635,195;0,903089987;2,5;;2;2;0,301029996;0,301029996
9;3;0,954242509;0,477121255;1,954,242,509;0,84509804;3;;4;3;0,602059991;0,477121255
6;2;0,77815125;0,301029996;1,568,201,724;0,698970004;3;;6;3;0,77815125;0,477121255
3;2;0,477121255;0,301029996;1,113,943,352;0,602059991;1,5;;16;7;1,204,119,983;0,84509804
1;1;0;0;0,301029996;0,301029996;1;;14;6;1,146,128,036;0,77815125
1;1;0;0;0,903089987;0,698970004;1;;21;9;1,322,219,295;0,954242509
1;1;0;0;0,954242509;0,698970004;1;;19;8;1,278,753,601;0,903089987
33;2;151,851,394;0,301029996;0,954242509;0,698970004;16,5;;15;6;1,176,091,259;0,77815125
45;3;1,653,212,514;0,477121255;0,77815125;0,477121255;15;;15;6;1,176,091,259;0,77815125
46;3;1,662,757,832;0,477121255;0,698970004;0,301029996;1,533,333,333;;11;6;1,041,392,685;0,77815125
40;3;1,602,059,991;0,477121255;0,698970004;0,301029996;1,333,333,333;;5;3;0,698970004;0,477121255
10;4;1;0,602059991;0,698970004;0,301029996;2,5;;5;3;0,698970004;0,477121255
5;2;0,698970004;0,301029996;0,602059991;0,301029996;2,5;;2;2;0,301029996;0,301029996
2;1;0,301029996;0;0,602059991;0,301029996;2;;2;2;0,301029996;0,301029996
1;1;0;0;1;0,602059991;1;;2;2;0,301029996;0,301029996
2;2;0,301029996;0,301029996;1,806,179,974;1,041,392,685;1;;7;4;0,84509804;0,602059991
2;2;0,301029996;0,301029996;2,212,187,604;1,113,943,352;1;;12;6;1,079,181,246;0,77815125
2;2;0,301029996;0,301029996;2,243,038,049;1,079,181,246;1;;53;11;172,427,587;1,041,392,685
1;1;0;0;2,025,305,865;0,84509804;1;;88;12;1,944,482,672;1,079,181,246
1;1;0;0;1,991,226,076;0,903089987;1;;89;13;1,949,390,007;1,113,943,352
36;3;1,556,302,501;0,477121255;0,77815125;0,477121255;12;;67;13;1,826,074,803;1,113,943,352
43;4;1,633,468,456;0,602059991;0,602059991;0,301029996;10,75;;17;7;1,230,448,921;0,84509804
45;3;1,653,212,514;0,477121255;1,113,943,352;0,698970004;15;;15;6;1,176,091,259;0,77815125
39;3;1,591,064,607;0,477121255;1,204,119,983;0,602059991;13;;11;6;1,041,392,685;0,77815125
10;3;1;0,477121255;1,079,181,246;0,602059991;3,333,333,333;;5;3;0,698970004;0,477121255
2;1;0,301029996;0;1;0,477121255;2;;1;1;0;0
2;1;0,301029996;0;0,301029996;0,301029996;2;;1;1;0;0
2;1;0,301029996;0;0,698970004;0,301029996;2;;2;2;0,301029996;0,301029996
4;3;0,602059991;0,477121255;0,698970004;0,301029996;1,333,333,333;;2;2;0,301029996;0,301029996
2;2;0,301029996;0,301029996;0,77815125;0,301029996;1;;10;6;1;0,77815125
5;3;0,698970004;0,477121255;1;0,301029996;1,666,666,667;;39;8;1,591,064,607;0,903089987
2;2;0,301029996;0,301029996;0,954242509;0,301029996;1;;89;13;1,949,390,007;1,113,943,352
1;1;0;0;0,698970004;0,477121255;1;;96;13;1,982,271,233;1,113,943,352
1;1;0;0;0,954242509;0,602059991;1;;97;12;1,986,771,734;1,079,181,246
31;3;1,491,361,694;0,477121255;1,322,219,295;0,903089987;1,033,333,333;;98;14;1,991,226,076;1,146,128,036
42;4;162,324,929;0,602059991;1,959,041,392;1,113,943,352;10,5;;87;13;1,939,519,253;1,113,943,352
41;3;1,612,783,857;0,477121255;2,206,825,876;1,146,128,036;1,366,666,667;;17;8;1,230,448,921;0,903089987
9;3;0,954242509;0,477121255;2,238,046,103;1,079,181,246;3;;5;3;0,698970004;0,477121255
5;2;0,698970004;0,301029996;2,217,483,944;1;2,5;;5;3;0,698970004;0,477121255
1;1;0;0;1,913,813,852;0,84509804;1;;1;1;0;0
1;1;0;0;1,079,181,246;0,477121255;1;;1;1;0;0
2;1;0,301029996;0;1,278,753,601;0,602059991;2;;1;1;0;0
2;1;0,301029996;0;1,397,940,009;0,477121255;2;;1;1;0;0
2;1;0,301029996;0;1,342,422,681;0,602059991;2;;1;1;0;0
2;1;0,301029996;0;1,278,753,601;0,602059991;2;;1;1;0;0
1;1;0;0;1,113,943,352;0,477121255;1;;4;3;0,602059991;0,477121255
2;1;0,301029996;0;0,301029996;0,301029996;2;;7;5;0,84509804;0,698970004
4;1;0,602059991;0;0,301029996;0,301029996;4;;89;10;1,949,390,007;1
4;1;0,602059991;0;0,301029996;0,301029996;4;;177;16;2,247,973,266;1,204,119,983
1;1;0;0;1;0,301029996;1;;226;18;2,354,108,439;1,255,272,505
4;3;0,602059991;0,477121255;1;0,301029996;1,333,333,333;;218;18;2,338,456,494;1,255,272,505
6;4;0,77815125;0,602059991;0,954242509;0,301029996;1,5;;194;17;228,780,173;1,230,448,921
29;5;1,462,397,998;0,698970004;0,954242509;0,301029996;5,8;;176;14;2,245,512,668;1,146,128,036
26;4;1,414,973,348;0,602059991;0,698970004;0,477121255;6,5;;51;10;1,707,570,176;1
21;5;1,322,219,295;0,698970004;1,079,181,246;0,698970004;4,2;;1;1;0;0
1;1;0;0;186,332,286;1,113,943,352;1;;1;1;0;0
2;2;0,301029996;0,301029996;2,342,422,681;1,322,219,295;1;;1;1;0;0
2;2;0,301029996;0,301029996;2,404,833,717;1,301,029,996;1;;1;1;0;0
6;4;0,77815125;0,602059991;2,397,940,009;1,278,753,601;1,5;;1;1;0;0
9;4;0,954242509;0,602059991;2,193,124,598;1,079,181,246;2,25;;1;1;0;0
9;2;0,954242509;0,301029996;1,716,003,344;0,84509804;4,5;;1;1;0;0
6;3;0,77815125;0,477121255;1,643,452,676;0,602059991;2;;1;1;0;0
1;1;0;0;1,681,241,237;0,698970004;1;;4;3;0,602059991;0,477121255
1;1;0;0;1,568,201,724;0,602059991;1;;32;11;1,505,149,978;1,041,392,685
2;1;0,301029996;0;1,462,397,998;0,602059991;2;;199;17;2,298,853,076;1,230,448,921
2;1;0,301029996;0;1,230,448,921;0,477121255;2;;341;21;2,532,754,379;1,322,219,295
2;1;0,301029996;0;0,903089987;0,301029996;2;;333;22;2,522,444,234;1,342,422,681
2;1;0,301029996;0;0,602059991;0,301029996;2;;330;22;251,851,394;1,342,422,681
1;1;0;0;0,698970004;0,301029996;1;;243;19;2,385,606,274;1,278,753,601
1;1;0;0;0,698970004;0,301029996;1;;181;18;2,257,678,575;1,255,272,505
1;1;0;0;0,301029996;0,301029996;1;;134;13;2,127,104,798;1,113,943,352
1;1;0;0;0,301029996;0,301029996;1;;1;1;0;0
4;1;0,602059991;0;0,477121255;0,301029996;4;;1;1;0;0
4;1;0,602059991;0;0,954242509;0,301029996;4;;1;1;0;0
4;1;0,602059991;0;1;0,301029996;4;;1;1;0;0
2;1;0,301029996;0;1,113,943,352;0,301029996;2;;1;1;0;0
1;1;0;0;0,954242509;0,301029996;1;;1;1;0;0
1;1;0;0;0,602059991;0,301029996;1;;1;1;0;0
5;4;0,698970004;0,602059991;1,146,128,036;0,84509804;1,25;;1;1;0;0
8;4;0,903089987;0,602059991;2,404,833,717;1,397,940,009;2;;5;4;0,698970004;0,602059991
32;6;1,505,149,978;0,77815125;2,664,641,976;1,462,397,998;5,333,333,333;;163;15;2,212,187,604;1,176,091,259
99;8;1,995,635,195;0,903089987;2,604,226,053;1,414,973,348;12,375;;402;21;2,604,226,053;1,322,219,295
